Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,10360.780273,10433.290039,10352.889648,10430.769531,10430.769531,128700
2020-01-02,10509.120117,10663.549805,10479.769531,10638.820313,10638.820313,183700
2020-01-03,10666.660156,10689.589844,10594.360352,10656.410156,10656.410156,159000
2020-01-06,10599.410156,10799.580078,10577.780273,10698.269531,10698.269531,187700
2020-01-07,10725.179688,10829.049805,10723.860352,10829.049805,10829.049805,171800
2020-01-08,10776.709961,10851.280273,10681.019531,10706.870117,10706.870117,202900
2020-01-09,10807.040039,10899.480469,10807.040039,10898.169922,10898.169922,170000
2020-01-10,10927.980469,10933.809570,10833.519531,10879.839844,10879.839844,145700
2020-01-13,10894.000000,11040.200195,10851.719727,11040.200195,11040.200195,151200
2020-01-14,11074.889648,11086.809570,10983.419922,10988.769531,10988.769531,164700
2020-01-15,10978.280273,11001.809570,10882.790039,10972.320313,10972.320313,139100
2020-01-16,10986.650391,11008.209961,10934.719727,10967.440430,10967.440430,140500
2020-01-17,11001.679688,11045.250000,10927.839844,10954.389648,10954.389648,132800
2020-01-20,10981.500000,11115.879883,10936.799805,11115.879883,11115.879883,151900
2020-01-21,11077.660156,11078.040039,10948.580078,10953.410156,10953.410156,153400
2020-01-22,11072.059570,11072.059570,11072.059570,11072.059570,11072.059570,0
2020-01-23,10947.860352,11026.000000,10572.269531,10681.900391,10681.900391,1860300
2020-02-03,9779.669922,9779.669922,9779.669922,9779.669922,9779.669922,0
2020-02-04,9578.870117,10095.690430,9578.870117,10089.669922,10089.669922,2393200
2020-02-05,10305.500000,10305.500000,10305.500000,10305.500000,10305.500000,0
2020-02-06,10306.120117,10633.169922,10214.809570,10601.339844,10601.339844,2280800
2020-02-07,10569.650391,10629.150391,10441.900391,10611.549805,10611.549805,2161300
2020-02-10,10728.459961,10728.459961,10728.459961,10728.459961,10728.459961,0
2020-02-11,10749.969727,10839.190430,10678.110352,10768.629883,10768.629883,1810500
2020-02-12,10940.799805,10940.799805,10940.799805,10940.799805,10940.799805,0
2020-02-13,10864.320313,10864.320313,10864.320313,10864.320313,10864.320313,0
